name,name_clean,cluster
 Ten0Boer ,Ten Boer,2
 Terneuzen ,Terneuzen,2
 Teylingen ,Teylingen,1
 Tholen ,Tholen,1
 Tiel ,Tiel,1
 Tilburg ,Tilburg,2
 Tubbergen ,Tubbergen,2
 Twenterand ,Twenterand,2
 Tynaarlo ,Tynaarlo,2
 Tytsjerksteradiel ,Tytsjerksteradiel,2
 UbbergenENMillingenaandeRijn ,UbbergenENMillingenaandeRijn,2
 Uden ,Uden,1
 Uitgeest ,Uitgeest,1
 Uithoorn ,Uithoorn,1
 Urk ,Urk,2
 Utrecht0gemeente ,Utrecht gemeente,2
 Utrechtse0Heuvelrug ,Utrechtse Heuvelrug,1
 Vaals ,Vaals,2
 Valkenburg0aan0de0Geul ,Valkenburg aan de Geul,2
 Valkenswaard ,Valkenswaard,2
 Veendam ,Veendam,2
 Veenendaal ,Veenendaal,1
 Veere ,Veere,2
 Veghel ,Veghel,1
 Veldhoven ,Veldhoven,2
 Velsen ,Velsen,1
 Venlo ,Venlo,0
 Venray ,Venray,1
 Vianen ,Vianen,1
 Vlaardingen ,Vlaardingen,0
 Vlagtwedde ,Vlagtwedde,2
 Vlissingen ,Vlissingen,1
 Vlist ,Vlist,2
 Voerendaal ,Voerendaal,2
 Voorschoten ,Voorschoten,1
 Voorst ,Voorst,2
 Vught ,Vught,2
 Waalre ,Waalre,2
 Waalwijk ,Waalwijk,1
 Waddeneilanden ,Waddeneilanden,2
 Waddinxveen ,Waddinxveen,1
 Wageningen ,Wageningen,1
 Wassenaar ,Wassenaar,1
 Waterland ,Waterland,1
 Weert ,Weert,2
 WeespENMuiden ,WeespENMuiden,1
 Werkendam ,Werkendam,1
 West0Maas0en0Waal ,West Maas en Waal,2
 Westerveld ,Westerveld,2
 Westervoort ,Westervoort,2
 Westland ,Westland,0
 Weststellingwerf ,Weststellingwerf,2
 Westvoorne ,Westvoorne,1
 Wierden ,Wierden,2
 Wijchen ,Wijchen,2
 Wijdemeren ,Wijdemeren,1
 Wijk0bij0Duurstede ,Wijk bij Duurstede,1
 Winsum ,Winsum,2
 Winterswijk ,Winterswijk,2
 Woensdrecht ,Woensdrecht,1
 Woerden ,Woerden,1
 Wormerland ,Wormerland,1
 Woudenberg ,Woudenberg,0
 Woudrichem ,Woudrichem,2
 Zaanstad ,Zaanstad,0
 Zaltbommel ,Zaltbommel,1
 Zandvoort ,Zandvoort,1
 Zederik ,Zederik,0
 Zeewolde ,Zeewolde,0
 Zeist ,Zeist,1
 Zevenaar ,Zevenaar,2
 Zoetermeer ,Zoetermeer,0
 Zoeterwoude ,Zoeterwoude,1
 Zuidhorn ,Zuidhorn,2
 Zuidplas ,Zuidplas,1
 Zundert ,Zundert,2
 Zutphen ,Zutphen,1
 Zwartewaterland ,Zwartewaterland,2
 Zwijndrecht ,Zwijndrecht,0
 Zwolle ,Zwolle,0
 het0Bildt ,het Bildt,2
 s0Gravenhage0gemeente ,s Gravenhage gemeente,0
 s0Hertogenbosch ,s Hertogenbosch,2
